<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.14	00:00:00	1.36669	1.36983	1.36485	1.36661	58248	0	0
2014.01.15	00:00:00	1.36665	1.36723	1.35807	1.35986	60319	0	0
2014.01.16	00:00:00	1.35990	1.36487	1.35827	1.36145	72629	0	0
2014.01.17	00:00:00	1.36129	1.36205	1.35166	1.35382	64588	0	0
2014.01.19	00:00:00	1.35365	1.35396	1.35238	1.35264	1682	0	0
2014.01.20	00:00:00	1.35266	1.35674	1.35065	1.35449	53297	0	0
2014.01.21	00:00:00	1.35442	1.35681	1.35157	1.35564	70790	0	0
2014.01.22	00:00:00	1.35555	1.35832	1.35341	1.35432	36890	0	0
2014.01.23	00:00:00	1.35433	1.36973	1.35293	1.36871	80798	0	0
2014.01.24	00:00:00	1.36872	1.37375	1.36621	1.36706	87064	0	0
2014.01.26	00:00:00	1.36718	1.36897	1.36685	1.36860	3697	0	0
2014.01.27	00:00:00	1.36856	1.37156	1.36526	1.36738	66727	0	0
2014.01.28	00:00:00	1.36738	1.36869	1.36286	1.36538	49523	0	0
2014.01.29	00:00:00	1.36536	1.36845	1.36027	1.36564	37209	0	0
2014.01.30	00:00:00	1.36558	1.36619	1.35427	1.35565	70234	0	0
2014.01.31	00:00:00	1.35548	1.35714	1.34789	1.34843	73287	0	0
2014.02.02	00:00:00	1.34822	1.34901	1.34779	1.34864	3313	0	0
2014.02.03	00:00:00	1.34865	1.35350	1.34767	1.35216	83151	0	0
2014.02.04	00:00:00	1.35212	1.35381	1.34926	1.35150	63626	0	0
2014.02.05	00:00:00	1.35148	1.35543	1.34985	1.35329	68602	0	0
2014.02.06	00:00:00	1.35334	1.36184	1.34820	1.35909	75403	0	0
2014.02.07	00:00:00	1.35889	1.36425	1.35516	1.36339	63196	0	0
2014.02.09	00:00:00	1.36097	1.36261	1.36081	1.36178	2366	0	0
2014.02.10	00:00:00	1.36181	1.36510	1.36178	1.36444	46333	0	0
2014.02.11	00:00:00	1.36447	1.36825	1.36289	1.36356	63804	0	0
2014.02.12	00:00:00	1.36358	1.36521	1.35617	1.35867	37554	0	0
2014.02.13	00:00:00	1.35869	1.36911	1.35847	1.36753	72662	0	0
2014.02.14	00:00:00	1.36772	1.37142	1.36729	1.36906	55217	0	0
2014.02.16	00:00:00	1.37057	1.37141	1.36940	1.37031	1239	0	0
2014.02.17	00:00:00	1.37023	1.37233	1.36912	1.37030	26230	0	0
2014.02.18	00:00:00	1.37034	1.37692	1.36939	1.37595	61263	0	0
2014.02.19	00:00:00	1.37596	1.37725	1.37237	1.37285	56370	0	0
2014.02.20	00:00:00	1.37303	1.37621	1.36853	1.37197	63827	0	0
2014.02.21	00:00:00	1.37189	1.37577	1.37015	1.37371	53129	0	0
2014.02.23	00:00:00	1.37291	1.37406	1.37244	1.37363	1118	0	0
2014.02.24	00:00:00	1.37368	1.37707	1.37079	1.37337	54231	0	0
2014.02.25	00:00:00	1.37329	1.37663	1.37148	1.37449	51692	0	0
2014.02.26	00:00:00	1.37450	1.37565	1.36611	1.36801	64184	0	0
2014.02.27	00:00:00	1.36806	1.37256	1.36427	1.37055	66790	0	0
2014.02.28	00:00:00	1.37054	1.38238	1.36936	1.37999	74718	0	0
2014.03.02	00:00:00	1.37803	1.37870	1.37529	1.37732	4650	0	0
2014.03.03	00:00:00	1.37736	1.37922	1.37254	1.37345	60747	0	0
2014.03.04	00:00:00	1.37346	1.37808	1.37200	1.37410	58371	0	0
2014.03.05	00:00:00	1.37402	1.37479	1.37068	1.37307	50682	0	0
2014.03.06	00:00:00	1.37304	1.38724	1.37208	1.38624	71416	0	0
2014.03.07	00:00:00	1.38617	1.39144	1.38516	1.38749	61100	0	0
2014.03.09	00:00:00	1.38738	1.38788	1.38692	1.38767	2038	0	0
2014.03.10	00:00:00	1.38768	1.38972	1.38610	1.38749	48333	0	0
2014.03.11	00:00:00	1.38749	1.38762	1.38331	1.38555	49626	0	0
2014.03.12	00:00:00	1.38558	1.39137	1.38427	1.39014	56975	0	0
2014.03.13	00:00:00	1.39015	1.39664	1.38450	1.38642	93412	0	0
2014.03.14	00:00:00	1.38636	1.39368	1.38470	1.39064	60471	0	0
2014.03.16	00:00:00	1.39014	1.39159	1.39014	1.39081	2815	0	0
2014.03.17	00:00:00	1.39068	1.39471	1.38786	1.39242	52569	0	0
2014.03.18	00:00:00	1.39247	1.39420	1.38792	1.39281	57639	0	0
2014.03.19	00:00:00	1.39287	1.39317	1.38093	1.38172	66539	0	0
2014.03.20	00:00:00	1.38183	1.38443	1.37486	1.37776	67888	0	0
2014.03.21	00:00:00	1.37784	1.38101	1.37651	1.37871	44134	0	0
2014.03.23	00:00:00	1.37969	1.38051	1.37870	1.37960	2116	0	0
2014.03.24	00:00:00	1.37951	1.38751	1.37599	1.38354	56922	0	0
2014.03.25	00:00:00	1.38350	1.38464	1.37484	1.38190	69038	0	0
2014.03.26	00:00:00	1.38193	1.38225	1.37761	1.37849	44198	0	0
2014.03.27	00:00:00	1.37839	1.37961	1.37281	1.37397	65450	0	0
2014.03.28	00:00:00	1.37390	1.37723	1.37042	1.37488	50437	0	0
2014.03.30	00:00:00	1.37618	1.37619	1.37442	1.37521	2023	0	0
2014.03.31	00:00:00	1.37492	1.38057	1.37207	1.37730	63854	0	0
2014.04.01	00:00:00	1.37725	1.38147	1.37682	1.37925	49271	0	0
2014.04.02	00:00:00	1.37918	1.38196	1.37528	1.37657	48039	0	0
2014.04.03	00:00:00	1.37660	1.38049	1.36976	1.37218	64692	0	0
2014.04.04	00:00:00	1.37208	1.37305	1.36721	1.37014	56100	0	0
2014.04.06	00:00:00	1.36981	1.37033	1.36952	1.37030	636	0	0
2014.04.07	00:00:00	1.37029	1.37480	1.36965	1.37411	38579	0	0
2014.04.08	00:00:00	1.37414	1.38112	1.37368	1.37920	59141	0	0
2014.04.09	00:00:00	1.37914	1.38609	1.37794	1.38515	63613	0	0
2014.04.10	00:00:00	1.38514	1.38986	1.38355	1.38857	62452	0	0
2014.04.11	00:00:00	1.38860	1.39049	1.38629	1.38841	51960	0	0
2014.04.13	00:00:00	1.38482	1.38594	1.38410	1.38460	2297	0	0
2014.04.14	00:00:00	1.38459	1.38624	1.38076	1.38146	58335	0	0
2014.04.15	00:00:00	1.38148	1.38327	1.37895	1.38100	55596	0	0
2014.04.16	00:00:00	1.38092	1.38504	1.38032	1.38229	51503	0	0
2014.04.17	00:00:00	1.38230	1.38642	1.38087	1.38098	48214	0	0
2014.04.18	00:00:00	1.38102	1.38217	1.38063	1.38076	12547	0	0
2014.04.20	00:00:00	1.38140	1.38161	1.38097	1.38134	1296	0	0
2014.04.21	00:00:00	1.38133	1.38299	1.37865	1.37907	24029	0	0
2014.04.22	00:00:00	1.37911	1.38242	1.37844	1.38060	42471	0	0
2014.04.23	00:00:00	1.38062	1.38542	1.37995	1.38161	30966	0	0
2014.04.24	00:00:00	1.38157	1.38420	1.37908	1.38295	51746	0	0
2014.04.25	00:00:00	1.38290	1.38477	1.38261	1.38329	37090	0	0
2014.04.27	00:00:00	1.38410	1.38422	1.38340	1.38380	1597	0	0
2014.04.28	00:00:00	1.38371	1.38789	1.38136	1.38509	53133	0	0
2014.04.29	00:00:00	1.38515	1.38786	1.38051	1.38119	49839	0	0
2014.04.30	00:00:00	1.38125	1.38761	1.37729	1.38672	40047	0	0
